Artist,Song,Mood
Tony Bennett,I Wanna Be Around,pos
Atomic Kitten,If You Come To Me,pos
At The Drive-In,Napoleon Solo,neg
Simple Minds,Careful In Career,neg
Alison Krauss,Simple Love,pos
Essie Jain,Glory,pos
Miss Kittin,I Come.Com,pos
Opeth,The Leper Affinity,neg
Silversun Pickups,...All The Go Inbetweens,neg
Nas,Ether,neg
John Mayer,Belief,pos
The Hoosiers,A Sadness Runs Through Him,pos
Jack Johnson,Belle,pos
Indukti,Shade,neg
Cat Power,No Sense,neg
Rage Against the Machine,Bullet In The Head,neg
VIRGIN BLACK,Velvet Tongue,neg
Jamie Foxx,Blame It,pos
Relient K,Faking My Own Suicide,pos
Fantasia,Good Lovin',pos
Chappaquiddick Skyline,Leave Me Alone,neg
The Bird And The Bee,Birds and the Bees,pos
Bob Dylan,Man In The Long Black Coat,neg
Garbage,Cup Of Coffee,neg
The Blackbyrds,Walking In Rhythm,pos
Gorillaz,19-2000,pos
Britney Spears,Radar,pos
Nightwish,The Poet and the Pendulum,neg
Cypress Hill,Insane in the Brain,neg
Bruce Springsteen,One Step Up,neg
Beatnuts,Monster For Music,neg
Megadeth,Blood of Heroes,neg
Slayer,Supremist,neg
Jack Johnson,Do You Remember,pos
Creedence Clearwater Revival,Lookin' Out My Back Door,pos
Mylo vs. Miami Sound Machine,Doctor Pressure,pos
LeAnn Rimes,Big Deal,neg
Ella Fitzgerald,A Fine Romance,pos
Diana Krall,The Boy From Ipanema,pos
AC/DC,Flick of the Switch,neg
Coverdale/Page,Take Me For A Little While,neg
Vicki Sue Robinson,Turn The Beat Around,pos
Alanis Morissette,All I Really Want,neg
Sean Kingston,Me Love,pos
Rihanna,Russian Roulette,neg
John Lennon,Mother (single edit),neg
2 Unlimited,No Limit,pos
Lou Rawls,You'll Never Find Another Love Like Mine,pos
Venom,Black Metal,neg
Kaskade,Your Love Is Black,neg
The Corrs,Runaway,pos
Caribou,She's The One,pos
Recoil,Stalker,neg
The Bobbettes,Mr. Lee,pos
Show of Hands,Widecombe Fair,neg
Bellini,Samba de Janeiro,pos
"Joel, Billy",New York State of Mind,neg
Rilo Kiley,Go Ahead,pos
The Smiths,The Hand That Rocks the Cradle,neg
Clawfinger,I Guess I'll Never Know,neg
Tiamat,Whatever That Hurts,neg
Dobie Gray,Drift Away,pos
Dave Matthews Band,Warehouse,pos
3 Doors Down,Be Somebody,neg
Bob Marley & The Wailers,Turn Your Lights Down Low,pos
Ben Folds,Gracie,pos
Okkervil River,On Tour With Zykos,neg
Stars,What I'm Trying To Say,pos
Orbital,Pay Per View,pos
Alkaline Trio,Ruin It,neg
The Ark,It Takes A Fool To Remain Sane,neg
The Statler Brothers,Flowers On The Wall,pos
Belle and Sebastian,Another Sunny Day,pos
Whitney Houston,My Love Is Your Love,pos
Corinne Bailey Rae,Like A Star (Paris Session),pos
Jill Cunniff,Eye Candy,pos
The Pink Spiders,Modern Swinger,pos
Tenacious D,Hard Fucking,pos
Bruce Springsteen,My City of Ruins,neg
Someone Still Loves You Boris Yeltsin,Oregon Girl,pos
Enya,Angeles,pos
Mariah Carey,Bye Bye,neg
The Velvet Underground,I'm Sticking With You,pos
The Temptations,My Girl,pos
MGMT,Kids,pos
Korn,Trash,neg
"""Weird Al"" Yankovic",Couch Potato,pos
Spike Jones & His City Slickers,Cocktails For Two,pos
Katatonia,The Itch,neg
Cake,Shadow Stabbing,pos
BjÃ¶rk,Cover Me,neg
Guns N' Roses,This I Love,neg
Peter Gabriel,Philadelphia,neg
Whitesnake,Fool For Your Loving,neg
"Flack, Roberta",Killing Me Softly with His Song,neg
Deine Lakaien,Return,neg
Element Eighty,Scars (The Echo Song),neg
KT Tunstall,Suddenly I See,pos
Neil Diamond,If I Don't See You Again,neg
The Sugarhill Gang,Rapper's Delight,pos
Bruce Springsteen,My Hometown,neg
The Association,Never My Love,pos
Destiny's Child,Through With Love,neg
Lost Boyz,What's Wrong,neg
Helmet,Street Crab,neg
Foals,Red Socks Pugie,neg
Jill Sobule,I Kissed a Girl,pos
The Smashing Pumpkins,X.Y.U.,neg
Twilight Guardians,Never Alone,neg
Shout Out Louds,Never Ever,pos
Angus & Julia Stone,Stranger,pos
Sophie Zelmani,People,pos
"John, Elton",Goodbye Yellow Brick Road,neg
Jack Johnson,Fall Line,pos
Al Green,I'm Still In Love With You,pos
Katatonia,Leaders,neg
"Weller, Paul",Sunflower,neg
Jonathan Coulton,Baby Got Back,pos
Nirvana,D-7,neg
Jamiroquai,Picture of My Life,pos
Morcheeba,Undress Me Now,pos
Steve Miller Band,The Joker,pos
Nevermore,Cenotaph,neg
No Doubt,Open The Gate,pos
Randy Travis,1982,neg
The Brian Setzer Orchestra,Since I Don't Have You,neg
Jack Johnson,Constellations,pos
Franz Ferdinand,Tell Her Tonight,pos
Atari Teenage Riot,Into the Death,neg
Shakira,Fool,neg
Santigold,Lights Out,pos
Amy Winehouse,Monkey Man,pos
Gene Clark,Set You Free This Time,neg
Velvet Revolver,Illegal i Song,neg
Annie,Me Plus one,pos
Erykah Badu,Next Lifetime,pos
"Young, Neil",Harvest Moon,neg
The Killers,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),pos
Rentals,Friends of P.,neg
Stealers Wheel,Stuck In The Middle With You,pos
The Birthday Party,Mutiny In Heaven,neg
Shearwater,Rooks,neg
Hanne Hukkelberg,Cast Anchor,pos
Cat Stevens,Peace Train,pos
Cher,Could've Been You,neg
Breaking Benjamin,You,neg
Enya,On My Way Home,pos
Madness,House Of Fun,pos
Norah Jones,Until The End,pos
Mother Mother,Arms Tonite,pos
David Sylvian,Darkest Dreaming,neg
"Drake, Nick",Pink Moon,neg
Sundays,Here's Where the Story Ends,neg
Five Bolt Main,Made Like This (Live),neg
David Phelps,One King (Album Version),neg
Behemoth,He Who Breeds Pestilence,neg
Groove Armada,Love Sweet Sound,pos
Malvina Reynolds,Little Boxes,pos
Anberlin,Dismantle.Repair.,neg
Van Halen,Jump,pos
Milanese,One Eye,neg
Billie Holiday,Easy Living,pos
Peter Bjorn And John,Paris 2004,pos
Herman's Hermits,Dandy,pos
"Spence, Alexander """,Little Hands,neg
The Byrds,He Was A Friend Of Mine,neg
Sun Kil Moon,Carry Me Ohio,neg
Brandi Carlile,Pride And Joy,neg
Siouxsie And The Banshees,Scarecrow,neg
Black Flag,Depression,neg
Cut Copy,Time Stands Still,pos
Madeleine Peyroux,Don't Wait Too Long,pos
Tenacious D,Master Exploder,pos
Morrissey,I'd Love To,neg
Slick Rick,Kill Niggaz,neg
Lupe Fiasco,Superstar,pos
Jello Biafra with the Melvins,Enchanted Thoughtfist (Enchanted Al Remix),neg
Beck,Beautiful Way,pos
Daft Punk,Digital Love,pos
Maritime,German Engineering,pos
Soilwork,Rejection role,neg
Nick Cave and the Bad Seeds,Lovely Creature,neg
Landon Pigg,Falling In Love At A Coffee Shop,pos
Natural Elements,Mayday,neg
Zombies,Beechwood Park,neg
From Autumn To Ashes,Chloroform Perfume,neg
Lisa Gerrard,Space Weaver,neg
Tristania,Open Ground,neg
PJ Harvey,Who The Fuck?,neg
Grizzly Bear,Little Brother,neg
Duran Duran,Careless Memories,neg
The Smashing Pumpkins,Silverfuck,neg
Kim Mitchell,Go For Soda,pos
Stevie Wonder,Knocks Me Off My Feet,pos
Snow Patrol,Chasing Cars,neg
Kosheen,Under Fire,neg
Shenandoah,Ghost In this House,neg
Usher,Caught Up,pos
The Boy Least Likely To,God Takes Care Of The Little Things,pos
The Fratellis,Chelsea Dagger,pos
Jens Lekman,Into Eternity,pos
Katatonia,12,neg
Devendra Banhart,Be Kind,pos
The Dillinger Escape Plan,The Running Board,neg
The Kingsmen,Louie Louie,pos
Black Eyed Peas,Sexy,pos
Jamie Cullum,It's About Time,pos
Phish,Birds of a Feather,pos
Slayer,Altar of Sacrifice,neg
Tanya Donelly,Keeping You,pos
Saybia,Brilliant Sky,pos
Bukka White,Sleepy Man Blues,neg
Sam Sparro,Cottonmouth,pos
Anaal Nathrakh,Shatter the Empyrean,neg
Lusine,Two Dots,pos
Clinic,Memories,neg
Joy Division,No Love Lost,neg
Diana Krall,The Best Thing For You,pos
At the Gates,Suicide Nation,neg
Neurosis,To the Wind,neg
Bullet For My Valentine,A Place Where You Belong,neg
Enigma,Silent Warrior,pos
Snow Patrol,New Sensation,neg
Placebo,The Bitter End,neg
The Anti-Nowhere League,So What,neg
At The Drive-In,Chanbara,neg
Ben Harper,Get It Like You Like It,pos
Backstreet Boys,Don't Wanna Lose You Now,neg
The Veils,Larkspur,neg
Broadcast,Tears in the Typing Pool,neg
Natalie Imbruglia,Glorious,pos
"DeMent, Iris",Our Town,neg
Brad Paisley,Online,pos
Grand National,Peanut Dreams,pos
Chokebore,It Could Ruin Your Day,neg
mewithoutYou,January -- 1979,neg
The Arrogant Worms,History Is Made by Stupid People,pos
Blink-182,All Of This,neg
RÃ³isÃ­n Murphy,Movie Star,pos
Julie Doiron,"Stay Now, Then Go",neg
"Joel, Billy","Summer, Highland Falls",neg
The Puppini Sisters,It's Not Over (Death or the toy piano),pos
Sentenced,Vengeance Is Mine,neg
Blue Rodeo,Small Miracles,neg
Dinosaur Jr,On The Brink,neg
Diana Krall,I Don't Stand A Ghost Of A Chance With You,pos
John Mayer,3x5,pos
Slayer,Public Display Of Dismemberment,neg
PJ Harvey,Victory,neg
The Cardigans,Drip Drop Teardrop,pos
Prozak,Go To Hell,neg
Maxwell,Welcome,pos
Recoil,Control Freak,neg
Conway Twitty,I Wonder What She'll Think About Me Leaving,neg
Nine Inch Nails,And All That Could Have Been,neg
Leona Lewis,A Moment Like This,pos
Cansei de Ser Sexy,Music Is My Hot Hot Sex,pos
COLD,Strip Her Down,neg
Elbow,Station Approach,neg
Nachtmahr,Feuer Frei!,neg
Incubus,Beware! Criminal,pos
Jamie Cullum,Twentysomething,pos
The Romantics,What I Like About You,pos
Mark Knopfler,Sailing To Philadelphia,pos
Alan Jackson,If Jesus Walked The World Today,pos
She & Him,Why Do You Let Me Stay Here?,pos
The Cure,Charlotte Sometimes,neg
Lyfe Jennings,Must Be Nice,pos
The Shins,One by One All Day,pos
Dido,All You Want,pos
Shwayze,Buzzin',pos
Stereophonics,Have A Nice Day,pos
Oasis,Songbird,pos
Drowning Pool,Step Up,neg
The Whispers,Rock Steady,pos
The Zutons,Confusion,pos
Mortal Love,All The Beauty,neg
Type O Negative,Dead Again,neg
Bran Van 3000,Everywhere,pos
John Mayer,Your Body Is A Wonderland,pos
"Wainwright, Rufus",Beauty Mark,neg
Kenny Loggins,For The First Time,pos
Minsk,The Orphans of Piety,neg
Ben Harper & The Innocent Criminals,In The Lord's Arms (live),pos
Lenny Kravitz,If You Can't Say No,pos
South San Gabriel,The Dark of Garage,neg
Cake,Guitar,pos
Frank the Baptist,Bleeding In My Arms,neg
The Jackson 5,I Want You Back,pos
Bedouin Soundclash,Shadow Of A Man,pos
Marilyn Manson,Minute Of Decay,neg
Leonard Cohen,By The Rivers Dark,neg
Hall & Oates,One on One,pos
Atari Teenage Riot,Speed,neg
Siouxsie and the Banshees,Regal Zone,neg
Alice In Chains,I Know Somethin (Bout You),neg
Bryan Ferry,Wildcat Days (1999 Digital Remaster),neg
Ben Kweller,Thirteen,neg
Annie,Helpless Fool For Love,pos
Monty Python,Always Look on the Bright Side of Life,neg
Vanessa Carlton,Paint It Black,neg
Billie Holiday,It Had To Be You,pos
Evanescence,Good Enough,neg
The Ataris,The Boys Of Summer,pos
Nirvana,Tourette's,neg
Joe Budden,Walk With Me,neg
Shalamar,I Can Make You Feel Good,pos
Wu-Tang Clan,Da Mystery of Chessboxin',neg
Cake,Pretty Pink Ribbon,pos
Coasters,Along Came Jones,neg
Johnny Cash,Old Apache Squaw,neg
Young Galaxy,Embers,pos
Bloc Party,One More Chance,neg
Baccara,"Sorry, I'm A Lady",pos
Operator,Soulcrusher (Amended Album Version),neg
Doris Day,"Whatever Will Be, Will Be (Que sera, sera)",pos
Sara Bareilles,Bottle It Up,pos
Morrissey,"Angel, Angel, Down We Go Together",neg
Horse Feathers,Hardwood Pews,pos
Genesis,Window,pos
Hevia,Busindre Reel,pos
The Cure,Untitled,neg
Evanescence,Your Star,neg
Chromeo,Momma's Boy,pos
The Innocence Mission,Sweep Down Early,pos
The Cure,Kyoto Song,neg
50 Cent,My Gun Go Off,neg
Junior Senior,Move Your Feet,pos
New Order,Thieves Like Us,neg
Mitch Ryder & the Detroit Wheels,Jenny Take a Ride!,neg
In Flames,Ordinary Story,neg
Bob Dylan,One Of Us Must Know (Sooner Or Later),neg
AC/DC,Back in Black,neg
Beck,Tropicalia,pos
David Bowie,Let's Dance,pos
"Petty, Tom & The Heartbreakers",Don't Come Around Here No More,neg
Badly Drawn Boy,Everybody's Stalking,neg
Jerry Cantrell,Hurt A Long Time,neg
Chet Baker,Look For The Silver Lining,pos
Jerry Butler,For Your Precious Love,pos
Cara Dillon,Bold Jamie,pos
Slayer,War Zone,neg
Keri Noble,Bartender,neg
Rufus Wainwright,Another Believer,pos
Poison,Talk Dirty to Me,neg
The Mountain Goats,So Desperate,neg
Ghostface Killah,Mighty Healthy,neg
Manic Street Preachers,I'm Not Working,neg
Roy Orbison,It's Over,neg
"Houston, David",My Elusive Dreams,neg
Evanescence,Tourniquet,neg
Animal Collective,Also Frightened,pos
Little River Band,Reminiscing,pos
Ludacris,Blow It Out,neg
Ben Kweller,Lollipop,pos
Bebel Gilberto,Simplesmente,pos
Yael NaÃ¯m,Too Long,pos
Ashlee Simpson,L.O.V.E.,pos
The Gathering,In Motion Part Ii,neg
Shania Twain,From This Moment On,pos
She & Him,I Should Have Known Better,pos
Jennifer Lopez,Get Right,pos
Christina Aguilera,Love For All Seasons,pos
Runaways [1],Cherry Bomb,neg
Elliott Smith,Coast to Coast,neg
Norah Jones,Back To Manhattan,neg
The Sundays,When I'm Thinking About You,pos
Chet Baker,I Fall in Love Too Easily,pos
Neil Young,I've Loved Her So Long,neg
Train,Heavy,pos
Jayhawks [1],Waiting for the Sun,neg
Enrique Iglesias,Not In Love,pos
The Verve Pipe,Medicate Myself,neg
Babes In Toyland,Handsome and Gretel,neg
The Red Jumpsuit Apparatus,Face Down (Acoustic),neg
Something Corporate,Drunk Girl,pos
Black Rebel Motorcycle Club,Howl,neg
The Airborne Toxic Event,Sometime Around Midnight,neg
New London Fire,Nadine,neg
Eminem,Mosh,neg
Remy Shand,Take A Message,pos
The Presets,If I Know You,neg
Rage Against the Machine,Vietnow,neg
Fuel,Bad Day,neg
Nelly Furtado,Onde Estas,neg
Supreme Beings of Leisure,What's the Deal,pos
Gavin DeGraw,I Don't Want To Be,pos
Leon Haywood,I Want'a Do Something Freaky To You,pos
Neutral Milk Hotel,April 8th,neg
Joe Jackson,Lullaby,neg
Depeche Mode,Shake The Disease,neg
Rage Against the Machine,No Shelter,neg
Shakira,Poem to a Horse,neg
Raheem Devaughn,Love Drug,pos
A Silver Mt. Zion,The Triumph of Our Tired Eyes,neg
New York Dolls,Frankenstein,neg
The Rubettes,Sugar Baby Love,pos
Diana Krall,When I Look In Your Eyes,pos
Okkervil River,A Hand to Take Hold of the Scene,pos
Tomte,Ich sang die ganze Zeit von Dir,neg
Pink Floyd,Welcome to the Machine,neg
Opeth,White Cluster,neg
Pixies,Monkey Gone To Heaven,pos
Stevie Wonder,Never Had A Dream Come True,pos
Nightwish,Eva,neg
At The Drive-In,Non-Zero Possibility,neg
Brandy,TRUE,neg
Fiona Apple,Waltz (Better Than Fine),pos
Interpol,Rest My Chemistry,neg
Imogen Heap,Swoon,pos
The Dickies,Banana Splits,pos
Michael Jackson,I Wanna Be Where You Are,neg
The Fall,Middle Class Revolt,neg
Godsmack,Straight Out of Line,neg
Slipknot,(Sic),neg
Kate Bush,In the Warm Room,neg
The Clash,Rock The Casbah,pos
Gabriella Cilmi,Sweet About Me,pos
Dubtribe Sound System,Do It Now,pos
Conor Oberst,Milk Thistle,neg
Neil Diamond,Create Me,neg
Deee-Lite,Groove Is In The Heart,pos
Metallica,Metal Militia,neg
Cowboy Junkies,Thirty Summers,pos
The Cooper Temple Clause,Talking To A Brick Wall,neg
MC Hammer,U Can't Touch This,pos
Lily Allen,U Killed It,neg
Bruce Springsteen,Candy's Room,neg
Marilyn Manson,Great Big White World,neg
McFly,That Girl,pos
Casiotone for the Painfully Alone,Don't They Have Payphones Wherever You Were Last Night,neg
Toni Braxton,You Mean The World To Me,pos
Inspiral Carpets,Commercial Reign,neg
Silverstein,BLEEDS NO MORE (Live Version),neg
AntÃ´nio Carlos Jobim,The Girl From Ipanema,pos
American Music Club,The Confidential Agent,neg
Shayne Ward,No U Hang Up,pos
Silverstein,MY CONSOLATION (LP Version),neg
The Hoosiers,Worried About Ray,pos
JoÃ£o Gilberto,Samba Da Minha Terra,pos
Greg Laswell,The One I Love,neg
Commodores,Just To Be Close To You,pos
"""Weird Al"" Yankovic",White & Nerdy,pos
Trevor Hall,Other Ways,pos
Brad Paisley,I'm Still A Guy,pos
Limp Bizkit,The Story,neg
LCD Soundsystem,All My Friends (John Cale's Version),neg
Hot Chip,Keep Fallin',pos
Ace of Base,Don't Turn Around,pos
Amy Winehouse,Stronger Than Me,pos
Little Feat,Sailin' Shoes,neg
Eighteen Visions,Our Darkest Days,neg
Mudhoney,Touch Me I'm Sick,neg
Syd Barrett,It Is Obvious,neg
K-OS,Heaven Only Knows,neg
Stars,Elevator Love Letter,pos
HIM,Heartache Every Moment,neg
Saafir,Crawl Before You Ball (Album Version),neg
Annett Louisan,Beerdigung,pos
Manic Street Preachers,Mausoleum,neg
Rage Against the Machine,Bulls on Parade,neg
Norah Jones,The Prettiest Thing,pos
Sade,The Sweetest Taboo,pos
The Killers,Somebody Told Me,pos
Scouting for Girls,She's So Lovely,pos
Poe,Hey Pretty,pos
Animal Collective,Water Curses,pos
The Bird And The Bee,La La La,pos
China Crisis,You Did Cut Me,pos
The Buggles,Video Killed The Radio Star,pos
"Stewart, Rod",Mandolin Wind,neg
Radiohead,Idioteque,neg
Flunk,Blind My Mind,pos
Evanescence,Going Under,neg
Converge,Wretched World,neg
Edward Sharpe & The Magnetic Zeros,40 Day Dream,pos
Nine Inch Nails,Burn,neg
Jawbreaker,Softcore,neg
The Gathering,These Good People,neg
AFI,Affliction,neg
"""Weird Al"" Yankovic",The Night Santa Went Crazy,pos
Magnolia Electric Co.,Hard to Love a Man,neg
Dwele,Truth,pos
Sepultura,Territory,neg
Gentleman,Dem Gone,pos
God Module,Sections,neg
Switches,Every Second Counts,pos
Jean Grae,My Story,neg
Incubus,Warning,neg
Beck,Soul Of A Man,pos
Rammstein,Feuer und Wasser,neg
Siobhan Donaghy,Ghosts,pos
New Model Army,One Of The Chosen,neg
Cinderella Effect,After Dark,neg
John Legend,Slow Dance,pos
Swans,Trust Me,neg
Atreyu,Right Side Of The Bed,neg
Kylie Minogue,Breathe,pos
Tarot,Ashes to the Stars,neg
Digable Planets,Black Ego,pos
Placebo,You Don't Care About Us,neg
The Cure,This Is a Lie,neg
Cannibal Corpse,Disfigured,neg
Iron & Wine,Peace Beneath the City,pos
Justin Timberlake,My Love,pos
Missy Higgins,The Special Two (Australian Version),neg
Moya Brennan,Show Me,pos
Kings of Leon,Trunk,neg
Bell X1,In Every Sunflower,neg
Al Green,Love And Happiness,pos
Daniel Bedingfield,Without The Girl,pos
Pat Monahan,Her Eyes,pos
Today Is The Day,Temple of the Morning Star,neg
Rush,Mystic Rhythms,neg
Bad Religion,The Lie,neg
John Legend,Stereo,pos
Bumblefoot,Abnormal (Acoustic),neg
Big D and the Kids Table,Little Bitch,pos
Caribou,Sun,pos
Buddy Holly,Words Of Love,pos
Bob Dylan,Trying To Get To Heaven,neg
Liberty X,Holding On For You,pos
Alicia Keys,Unbreakable,pos
Dave Matthews Band,Christmas Song,pos
Dark Tranquillity,At Loss For Words,neg
Mason Jennings,Be Here Now,pos
OutKast,Chonkyfire,pos
Little Joy,Unattainable,pos
Fatboy Slim,Demons,pos
Poison Idea,Just to Get Away,neg
Feist,Inside And Out,pos
God Help the Girl,Funny Little Frog,pos
Smashing Pumpkins,Pug,neg
Jack Johnson,The Horizon Has Been Defeated,pos
Men Without Hats,The Safety Dance,pos
Patti Austin,That's Enough For Me,pos
Leonard Cohen,Winter Lady,neg
Screaming Trees,Dollar Bill,neg
Diary of Dreams,Tears of Laughter,neg
Brand New,Not The Sun,neg
Bad Company,Simple Man,neg
Enya,Wild Child,pos
Herbie Hancock,Solitude,pos
The Format,The Compromise,pos
Xavier Rudd,Better People,pos
Hot Chip,Wrestlers,pos
Martina McBride,Heart Trouble,neg
The Black Crowes,Girl From A Pawnshop,neg
Talking Heads,Burning Down The House,pos
High On Fire,The Face of Oblivion,neg
Barry White,Don't Make Me Wait Too Long,pos
Prodigy [1],Smack My Bitch Up,neg
Green Carnation,The Burden Is Mine... Alone,neg
The Boy Least Likely To,Be Gentle With Me,pos
Rusted Root,Send Me On My Way,pos
Joss Stone,Victim of a Foolish Heart,pos
Dropkick Murphys,The Only Road (Album Version),neg
KT Tunstall,Golden Age,pos
Electric Light Orchestra,Mr. Blue Sky,pos
The White Stripes,Hotel Yorba,pos
Rihanna,Stupid In Love,neg
Cradle of Filth,Hurt and Virtue,neg
Arcana,Like Statues In The Garden Of Dreaming,neg
Wolfmother,Vagabond,pos
Allison Weiss,I Don't Want To Be Here,neg
Tori Amos,Cornflake Girl,pos
Jason Mraz,Did You Get My Message?  (Live From Shubas),neg
Wet Wet Wet,Love Is All Around,pos
Eric Hutchinson,All Over Now (Album Version),pos
U2,Elevation,pos
Natalie Imbruglia,Want,neg
Boz Scaggs,Lowdown,pos
Fractured,One More Time,neg
Phoenix,Run Run Run,pos
Kings Of Leon,Wicker Chair,neg
Tindersticks,The Not Knowing,neg
Manic Street Preachers,Archives Of Pain,neg
Mike Doughty,Your Misfortune,pos
The Rolling Stones,Angie (1993 Digital Remaster),neg
Mastodon,Hearts Alive,neg
Therion,The Siren of the Woods,neg
Morphine,Murder For The Money,neg
Sophie Ellis-Bextor,Supersonic,pos
Arab Strap,New Birds,neg
FC/Kahuna,Hayling,pos
Alice in Chains,What The Hell Have I,neg
Juliane Werding,Sehnsucht Ist Unheilbar,neg
Boomkat,Daydreamin',pos
Eminem,Stan,neg
Cloud Cult,Car Crash,neg
Zero 7,In the Waiting Line (live),pos
Spinal Tap,Stonehenge,pos
Feist,Secret Heart,pos
Blondie,Heart of Glass,pos
Whitney Houston,Heartbreak Hotel,neg
Gorillaz,Pirate Jet,pos
Story One,Russian Dolls,neg
Lifehouse,Hanging By A Moment,pos
Liam Lynch,United States of Whatever,pos
Patrick Wolf,Magpie,neg
Bananarama,Venus,pos
Sin With Sebastian,Shut Up (And Sleep With Me),pos
Darren Hayes,A Conversation With God,neg
Tenacious D,Explosivo,pos
Divinyls,I Touch Myself,pos
Mamas & the Papas,California Dreamin',neg
Elysian Fields,Never Mind That Now,neg
Sister Sledge,Thinking of You,pos
Matt Bianco,Ordinary Day,pos
Iron Maiden,The Angel And The Gambler,pos
Antimatter,Going Nowhere,neg
Gorillaz,Superfast Jellyfish,pos
"Harrison, George [1]",All Things Must Pass,neg
Dark Fortress,Evenfall,neg
The Pharcyde,Pack The Pipe,pos
Madness,Embarrassment,pos
The Police,Bring On The Night,neg
Gorillaz,DARE (Soulwax Remix),pos
Cindy Morgan,I Will Be Free (LP Version),neg
Manic Street Preachers,She Is Suffering,neg
Cascada,Because The Night,pos
Friendly Fires,Lovesick,pos
Sambassadeur,Between the lines,pos
G-Unit,Money Make The World Go Around,neg
RÃ¶yksopp,Dead to the World,pos
Chris Botti,Nearness Of You,pos
Vince Guaraldi Trio,Christmas Time Is Here,pos
Justin Timberlake,SexyBack,pos
Genesis,Uncertain Weather,neg
Silverstein,Always And Never (Album Version),neg
Until June,The Saddest Song,neg
Koop,Waltz for Koop,pos
Sondre Lerche,Suffused With Love,pos
Tori Amos,Hey Jupiter,neg
Guillemots,Falling Out Of Reach,pos
Santana,Love of My Life,pos
Belle and Sebastian,If She Wants Me,pos
Avril Lavigne,Hot,pos
Cake,Dime,pos
Pulp,Happy Endings,neg
Lifesavas,Hellohihey,pos
Frank the Baptist,Cryptkicker,neg
Manu Chao,Papito,pos
The Simpsons,Do The Bartman,pos
Roger Miller,When Two Worlds Collide,neg
Marilyn Manson,The Golden Age Of Grotesque,neg
Opeth,Heir Apparent,neg
Plants and Animals,Faerie Dance,pos
Blu Cantrell,Don't Wanna Say Goodbye,neg
Godhead,Eleanor Rigby,neg
Little Feat,Willin',neg
Brooks & Dunn,My Maria,pos
Jimmy Soul,If You Wanna Be Happy,pos
Flowing Tears,Kismet,neg
Silverchair,Emotion Sickness,neg
Enigma,Modern Crusaders,pos
The Housemartins,Five Get Over Excited,pos
Kiss,I Still Love You,neg
Boyzone,Baby Can I Hold You,pos
Vashti Bunyan,Train Song,pos
Billy Joel,We Didn't Start The Fire,pos
Grace Jones,Corporate Cannibal,neg
M. Ward,Jailbird,pos
Harry Nilsson,All I Think About Is You,pos
Billy Idol,Eyes Without A Face,pos
Mungo Jerry,In The Summertime,pos
Gary Numan,One Perfect Lie,neg
Pato Fu,Cities In Dust,pos
Usher,My Boo,pos
Michael Jackson,You Rock My World,pos
Baroness,The Sweetest Curse,neg
Stan Rogers,Forty-five Years,pos
The Zutons,Valerie,pos
Nas,Drunk by Myself,neg
Boyz II Men,On Bended Knee,neg
Sheb Wooley,The Purple People Eater,pos
Beck,Rental Car,pos
K-Ci & JoJo,All My Life,pos
The Fleetwoods,Come Softly To Me,pos
Kane,All I Can Do,neg
Jack Johnson,Mediocre Bad Guys,pos
Rachael Yamagata,1963,pos
Kitchens of Distinction,4 Men,neg
Beastie Boys,Shake Your Rump,pos
The Shins,Sleeping Lessons,pos
"Jones, George [1]",Good Year for the Roses,neg
George Harrison,Between The Devil And The Deep Blue Sea,pos
Ramones,Do You Remember Rock 'N' Roll Radio?,pos
Dave Matthews Band,Steady As We Go,pos
Simon & Garfunkel,Cecilia,pos
Dwele,Subject,pos
Eric Clapton,My Father's Eyes,neg
Mud,Oh Boy,pos
R. Kelly,Ignition,pos
Johnny Cash,Were You There (When They Crucified My Lord),neg
Atari Teenage Riot,Revolution Action,neg
Pam Tillis,Spilled Perfume,neg
Roots Manuva,Dreamy Days,pos
The Clash,Lose This Skin,neg
will.i.am,I Got It From My Mama,pos
Slipknot,Wait and Bleed,neg
Andrew Bird,Oh No,pos
Smolik,Cmyk,pos
Anathema,Fragile Dreams,neg
Ultravox,Vienna,neg
Garbage,A Stroke of Luck,neg
Panic At The Disco,Northern Downpour (Album Version),neg
Fever Ray,I'm Not Done,neg
Dispatch,Here We Go,pos
Megadeth,FFF,neg
Digable Planets,Jettin',pos
Neil Innes,Lie Down And Be Counted (2007 Digital Remaster),neg
Nights Like These,Ghost Town Rituals (Album Version),neg
Pain of Salvation,Waking Every God,neg
Enigma,Mea Culpa,pos
k-os,Crabbuckit,pos
Marilyn Monroe,My Heart Belongs to Daddy,pos
Mark Hollis,The Colour Of Spring,neg
Modjo,Lady (Hear Me Tonight),pos
Misfits,Halloween,neg
Nick Cave and the Bad Seeds,Get Ready for Love,neg
These New Puritans,We Want War,neg
Suicidal Tendencies,Institutionalized,neg
The Strokes,Last Nite,pos
Nada Surf,Happy Kid,pos
Cypress Hill,Stoned Is the Way of the Walk,neg
Carpenters,We've Only Just Begun,pos
Strapping Young Lad,Detox,neg
k.d. lang,Love Is Like a Cigarette,neg
Hoobastank,Too Little Too Late,pos
Frederick Knight,I've Been Lonely (For So Long),neg
Melanie C,Goin' Down,neg
Dokken,Disease,neg
Agonoize,"death, murder, kill",neg
Richard Marx,Should've Known Better,neg
