Artist,Song,Mood,song_id
FC/Kahuna,Hayling,pos,6ADH2LsNyV7DlrQlIMjA8N
Alice in Chains,What The Hell Have I,neg,1wPhx62DRpvULqckrdWlIt
Juliane Werding,Sehnsucht Ist Unheilbar,neg,27MKu6lhJbEmRkWXCARSu6
Boomkat,Daydreamin',pos,1nzks1fyExUyPLHcSefs0R
Eminem,Stan,neg,3UmaczJpikHgJFyBTAJVoz
Cloud Cult,Car Crash,neg,6gvIMEn722gqusnbcXtmSS
Zero 7,In the Waiting Line (live),pos,0UxFGVd8wEFNt4AItbBOTx
Spinal Tap,Stonehenge,pos,7BWXqx8cIiSAyc4kLt22PX
Feist,Secret Heart,pos,1hTD0NC8VMBMSr9aelvTXZ
Blondie,Heart of Glass,pos,0a4agFmqHXxcZl1nho1BxM
Whitney Houston,Heartbreak Hotel,neg,4J9u7UsXH7F6sFI32KnYuP
Gorillaz,Pirate Jet,pos,0xSF7iHZQxaZYMAiBfobms
Story One,Russian Dolls,neg,4nPh6RbDTN9aKtc0w42YN8
Lifehouse,Hanging By A Moment,pos,6jWLyg8AuMQ9LtIB2UlfOF
Liam Lynch,United States of Whatever,pos,6Jub05dvpbF4Im83NqMCUg
Patrick Wolf,Magpie,neg,3r23hGBYlLcOs4PBIygv5D
Bananarama,Venus,pos,4XX1pFUkQOZTYp6Hb6a6Ae
Sin With Sebastian,Shut Up (And Sleep With Me),pos,7hrTKa1ox63BK92heUKt5f
Darren Hayes,A Conversation With God,neg,2VHNsY89s3OW8eKA27PZc5
Tenacious D,Explosivo,pos,1DzHhGRaNDPfV2jJy2XyjJ
Divinyls,I Touch Myself,pos,6oNvmplQGUkmAh441Teows
Mamas & the Papas,California Dreamin',neg,4s6LhHAV5SEsOV0lC2tjvJ
Elysian Fields,Never Mind That Now,neg,
Sister Sledge,Thinking of You,pos,7mimnm2QlSzW3J38FRMETP
Matt Bianco,Ordinary Day,pos,4JK5kKfQxGDLjLYTWhDDJC
Iron Maiden,The Angel And The Gambler,pos,7t7jwubCD9AyVXy36mMkR5
Antimatter,Going Nowhere,neg,3FtAYGNjAwILCXSM9j6j3V
Gorillaz,Superfast Jellyfish,pos,1UJNbgfTzG1gZZTWFJdMf1
"Harrison, George [1]",All Things Must Pass,neg,4z8TANeWtmi0u4GEvtKU7t
Dark Fortress,Evenfall,neg,6pbUvNaN9qcUJZt1OvFjNz
The Pharcyde,Pack The Pipe,pos,3jE1ffzfKtnALJVGlXgl7D
Madness,Embarrassment,pos,2HaS8ukAb0Y7kn8cpMCasQ
The Police,Bring On The Night,neg,4EkNINvDLeGgIL4zYGsYPb
Gorillaz,DARE (Soulwax Remix),pos,3BK3FS5ndEMAH7OJZSs1HY
Cindy Morgan,I Will Be Free (LP Version),neg,
Manic Street Preachers,She Is Suffering,neg,55ol0W7FtPHP3cC8qXm1xU
Cascada,Because The Night,pos,4E73mIgGehdEHxMuxEd7I9
Friendly Fires,Lovesick,pos,3Pzk2Q10nxX2YKw7RU8567
Sambassadeur,Between the lines,pos,3rOzVUgGN5jDdYrBwsErZO
G-Unit,Money Make The World Go Around,neg,1hLKx2Ph4gPN79VuAW2jHR
RÃ¶yksopp,Dead to the World,pos,0jHtIhSDkpYEdiWfXpJqhy
Chris Botti,Nearness Of You,pos,73YXEwnSAVlOrh3Xxuggcc
Vince Guaraldi Trio,Christmas Time Is Here,pos,3bMfUUpzUzqWp9II00yRhE
Justin Timberlake,SexyBack,pos,0O45fw2L5vsWpdsOdXwNAR
Genesis,Uncertain Weather,neg,
Silverstein,Always And Never (Album Version),neg,
Until June,The Saddest Song,neg,7aJjjDLROYLhFC6BLrf27C
Koop,Waltz for Koop,pos,19MMMKq4LzbTvhOMYccIRd
Sondre Lerche,Suffused With Love,pos,5TwDBVmBEKzqIz5Sb1Dw0g
Tori Amos,Hey Jupiter,neg,2Nq5FAdFD2GOWH3l04kBWB
Guillemots,Falling Out Of Reach,pos,1W1tZklFWphskyEek3cPdI
Santana,Love of My Life,pos,7qtpPSLeZMGv0vrCZu5kxu
Belle and Sebastian,If She Wants Me,pos,4RieaJbPBKDv57CJ7NuHAO
Avril Lavigne,Hot,pos,6z7fZRrQfOH3ZjWEkC4QhC
Cake,Dime,pos,0oX8zOaXOaSAh7VbHsNcm2
Pulp,Happy Endings,neg,5yjKWD8yEufEzUQrQhr0CI
Lifesavas,Hellohihey,pos,35J5fWBYFx1LTut0JwXxgh
Frank the Baptist,Cryptkicker,neg,
Manu Chao,Papito,pos,4SlXWEtT9mFIqe6AJXJ1nk
The Simpsons,Do The Bartman,pos,5iM1Csh4jiBHdt0TCnjB4Z
Roger Miller,When Two Worlds Collide,neg,2OOj0z71Ducvb51lYpf1k1
Marilyn Manson,The Golden Age Of Grotesque,neg,0oiyxsD2AjCeG3YeyUFZh5
Opeth,Heir Apparent,neg,6OGkZoqso1wbIy5O6cV56N
Plants and Animals,Faerie Dance,pos,3FUYFfdWMiBUjogeXev6TJ
Blu Cantrell,Don't Wanna Say Goodbye,neg,1s4fJRRdUXd2GKWPZPRG9a
Godhead,Eleanor Rigby,neg,5FGH5r7YbwT627hwKMO2pp
Little Feat,Willin',neg,0jMyU6bO52IYhAEoWbT4K9
Brooks & Dunn,My Maria,pos,09qzRI951OVkXGCc33gzcT
Jimmy Soul,If You Wanna Be Happy,pos,7D97JnBT73FWUh9KmRvP9M
Flowing Tears,Kismet,neg,
Silverchair,Emotion Sickness,neg,5ss8EKvZmxatWEAkbkkAsr
Enigma,Modern Crusaders,pos,65fqcmj2M1EiERwDoIflDt
The Housemartins,Five Get Over Excited,pos,3oC29LLhQc5e7c62KVXpF9
Kiss,I Still Love You,neg,3UGAFI6gHmz88xMQbHr1UT
Boyzone,Baby Can I Hold You,pos,59XqA0QB5YCTflfzZ6SYk0
Vashti Bunyan,Train Song,pos,59BweHnnNQc5Y55WO30JuK
Billy Joel,We Didn't Start The Fire,pos,3Cx4yrFaX8CeHwBMReOWXI
Grace Jones,Corporate Cannibal,neg,4cR6T6pPcUacH2ZEwvk9s2
M. Ward,Jailbird,pos,78eKi8lHOQarnHAnYDgkL8
Harry Nilsson,All I Think About Is You,pos,2dGaTvl8v6bp1yvrvioL25
Billy Idol,Eyes Without A Face,pos,0pUVeEgZuNyFzIMKp67RbS
Mungo Jerry,In The Summertime,pos,3RNyGLgSvmVRZ7xKUp8Wgd
Gary Numan,One Perfect Lie,neg,4AUnnSYhIv36tYBTFLp2hC
Pato Fu,Cities In Dust,pos,7ckAIfkXRv3D0PZkSW7gfW
Usher,My Boo,pos,68vgtRHr7iZHpzGpon6Jlo
Michael Jackson,You Rock My World,pos,1Lhwn4PqeGpM4LTVUowW76
Baroness,The Sweetest Curse,neg,4bvgMdqQFtT3zMy9BfwfIh
Stan Rogers,Forty-five Years,pos,
The Zutons,Valerie,pos,2LuJkoxMlLQshNTVa8oCXW
Nas,Drunk by Myself,neg,7ArpolxjbdPWgf4Bc7AtaC
Boyz II Men,On Bended Knee,neg,4Gmkqn3V7IMTkOmmiX7cbb
Sheb Wooley,The Purple People Eater,pos,0WkZQPNC0c7yrsMX1arVAd
Beck,Rental Car,pos,4eb2zXeajJRwlTWeH8gUOc
K-Ci & JoJo,All My Life,pos,58Cwsyj2ldrxvXwYOuiw03
The Fleetwoods,Come Softly To Me,pos,603N4XGJUTbK760GLCvIIs
Kane,All I Can Do,neg,3QAC3S7Gf5anLpg2FXAnJd
Jack Johnson,Mediocre Bad Guys,pos,1NBogIJPGYfOuR0yKKqP9a
Rachael Yamagata,1963,pos,4lhUMg8TNMsmj1YxopeW5A
Kitchens of Distinction,4 Men,neg,4pz8CC1ZM3zkwafFsUjMtk
Beastie Boys,Shake Your Rump,pos,2qq0RYYIuQxXcOxQKN0drC
The Shins,Sleeping Lessons,pos,3Bz3lj6E9VFBk1Wj1hC8vw
"Jones, George [1]",Good Year for the Roses,neg,3943HtX08Ha2g3tiNAMdtv
George Harrison,Between The Devil And The Deep Blue Sea,pos,2aC4dekmnklfC6edwh3Wda
Ramones,Do You Remember Rock 'N' Roll Radio?,pos,2Ck23L2znrPAFiyopqzWUj
Dave Matthews Band,Steady As We Go,pos,4flD9PscVK6nTjMvRbPNEX
Simon & Garfunkel,Cecilia,pos,6QhXQOpyYvbpdbyjgAqKdY
Dwele,Subject,pos,0qFbIlStVP8ko2ZQOj2sSQ
Eric Clapton,My Father's Eyes,neg,7aAkwqs3Yp94iIiPRRD7QA
Mud,Oh Boy,pos,1JpyqP6Bty24JxwGLlaWKt
R. Kelly,Ignition,pos,5dNfHmqgr128gMY2tc5CeJ
Johnny Cash,Were You There (When They Crucified My Lord),neg,6FQ36fnytRtVALIpsBwXBv
Atari Teenage Riot,Revolution Action,neg,4jWK598wEA0X0tQm6xIcPn
Pam Tillis,Spilled Perfume,neg,44fjopa7xgDY2XBZRnyDBU
Roots Manuva,Dreamy Days,pos,74ZEiucPvI6jqYe3YxJwx6
The Clash,Lose This Skin,neg,0TQwoYnLVBiIEmaMFbzOEc
will.i.am,I Got It From My Mama,pos,1z7FW0nlEBGtQWQ19kz7qp
Slipknot,Wait and Bleed,neg,2gscB6kDOmrv1P6qs2KXE3
Andrew Bird,Oh No,pos,4BqwtA09d5FIHbdL3FZRxi
Smolik,Cmyk,pos,7G45D7TeZnOMJ4aTYmRyG0
Anathema,Fragile Dreams,neg,6jtF8RDq04cMODupOyLwdi
Ultravox,Vienna,neg,0842N1NhR1Q1XS6XyyQ3Nl
Garbage,A Stroke of Luck,neg,5bGTeOU4XM9ZLEWlYDVoyL
Panic At The Disco,Northern Downpour (Album Version),neg,
Fever Ray,I'm Not Done,neg,5SM7q3RkQIeBQkITocgbHn
Dispatch,Here We Go,pos,54hVYvjP7uWq4mYfMeZYBO
Megadeth,FFF,neg,2MmacUcqYxwdq8JrBIAPXD
Digable Planets,Jettin',pos,1BXastKgdI3AiFipVt69Fv
Neil Innes,Lie Down And Be Counted (2007 Digital Remaster),neg,
Nights Like These,Ghost Town Rituals (Album Version),neg,
Pain of Salvation,Waking Every God,neg,0dlbiUpkJTBms0Yit5cabP
Enigma,Mea Culpa,pos,5Q1WrsTDRJQXKlqLUo8YkG
k-os,Crabbuckit,pos,
Marilyn Monroe,My Heart Belongs to Daddy,pos,6e38HvOxLS1j0TCAhGFz2Z
Mark Hollis,The Colour Of Spring,neg,7kYsV81UkV4z7UuF94u8T6
Modjo,Lady (Hear Me Tonight),pos,49X0LAl6faAusYq02PRAY6
Misfits,Halloween,neg,5h5reMGNpL19vdn5wMkbNn
Nick Cave and the Bad Seeds,Get Ready for Love,neg,68wdSmz603M2f0tQWV69HE
These New Puritans,We Want War,neg,0lYWAp40vf0IQSenjwtqM5
Suicidal Tendencies,Institutionalized,neg,7G83ZwD2msTtFaBQExc8QB
The Strokes,Last Nite,pos,7kzKAuUzOITUauHAhoMoxA
Nada Surf,Happy Kid,pos,7epvtGcbO7fGVnYbI5Q01l
Cypress Hill,Stoned Is the Way of the Walk,neg,3bYrxDub4IJVA0g0FAbiYd
Carpenters,We've Only Just Begun,pos,7nXZCcFAy1oCKQG2SqLszv
Strapping Young Lad,Detox,neg,5UCZhWiEj8q5jid3zu8JKw
k.d. lang,Love Is Like a Cigarette,neg,6ahSapgFac5Qe6Fqxt6opY
Hoobastank,Too Little Too Late,pos,1yjOCVJFftIR0sisfutX4g
Frederick Knight,I've Been Lonely (For So Long),neg,4yEi93B8QZOqrZj894BgNX
Melanie C,Goin' Down,neg,28PRXrS8AkRX32FGL6S0DU
Dokken,Disease,neg,
Agonoize,"death, murder, kill",neg,2bJLRVQWeZ3ZCnCLLuSgS5
Richard Marx,Should've Known Better,neg,5j1zOOvkxxe4uZZ2Jgl8r4
Marius MÃ¼ller-Westernhagen,Johnny W.,neg,
The Dears,We Can Have It,neg,26E27oU1kHNbN8dqtdNFV1
Frightened Rabbit,My Backwards Walk,neg,0lCgAEyTIzwbJHHPmeE7PF
Diary of Dreams,The Curse,neg,3tQeDE3Q4Pk40CvPFO0eoW
Joni Mitchell,The Last Time I Saw Richard,neg,5LZLOOTwrA0HgTszqCgZ3C
Isis,Threshold of Transformation,neg,5SDmQZHZ4f4G5wJoyfkakI
Brad Paisley,Alcohol,pos,5wKaxpvqXq95IaoAVPLgoi
Sarah Vaughan,Lullaby Of Birdland,pos,5z161QQZMgQxSILnv3QoJk
Martha Wainwright,G.P.T.,pos,
JoJo,Weak,pos,4YZaLNrZgiEztlf4TLMJuD
The Magnetic Fields,The Luckiest Guy On The Lower East Side,pos,2pL9xr4Mznff997e4jcoos
Sufjan Stevens,"John Wayne Gacy, Jr.",neg,2gFBh7NnEfSeBoZZDB5d2C
The Bangles,Eternal Flame,pos,5g3ZD7PmrEQlQZKDW91yGG
Snoop Dogg,Sensual Seduction,pos,1wva1IlWLDNLgwipUWcmjy
Bauhaus,The Passion of Lovers,neg,0Ha6Oee9KzRwNxAbfznzYJ
Jamie Cullum,Frontin',pos,7dyFc08TnQM450x2C4czZR
Ziggy Marley,Shalom Salaam,pos,3nnE2tL23dx1mTiUH1T2R3
Mariah Carey,The One,pos,6yyvLpiJLum0qdgM7W268T
"Orton, Beth",Stolen Car,neg,4QFO5fgejhz2tu8ZmlDjzw
Nat King Cole,Unforgettable,pos,648TTtYB0bH0P8Hfy0FmkL
Audioslave,Dandelion,pos,24xTrbr2WP3a3F29rejG9k
Godsmack,Voodoo Too,neg,3eljm8lXziNgOd9WMnpTL0
Rihanna,Let Me,pos,4tAqWkqjX9bRSUpNcYviVf
Nick Cave and the Bad Seeds,And No More Shall We Part,neg,0aKozTzglADfnFue4Vwuif
Omarion,Been With A Star,pos,5lNHW7zkHGCFP8I1g0tRS2
Eels,Fresh Feeling,pos,5zIMD8C7t1qiIXThhgDIpD
The Subdudes,Why Can't I Forget About You,pos,6jESFIywK8ifWCTvBkqaht
Tunng,Spoons,pos,7gRJ0Kq3KPFCS5qUYPEune
Flowing Tears,Portsall (Departure Song),neg,0TvWULuyrFnu5PmBfDaesd
Metric,Raw Sugar,pos,3fL4TbxZ6Qgbjr4MPeTnvw
The Hives,Won't Be Long,pos,
Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),neg,
Tenacious D,Rock Your Socks,pos,5RJI4frP6s1xr9Ma9GgRkr
Ray Charles,I Got a Woman,pos,4n3jZ9O3ntnHrP1sjmWW8T
The Dramatics,Whatcha See Is Whatcha Get,pos,5lYpHO6ZO4Shys3GD8rav6
Martina McBride,Wrong Again,neg,1MFPoVy2VHnb87APFZqzqc
Goldie,Temper Temper,neg,2z8PoAXhr8zgAxIvkOZNKH
Tara MacLean,Evidence,neg,1cnfOQNIPCyFhO5hZQ6H9W
Gorillaz,19-2000 (Soulchild Remix),pos,
The Verve,The Drugs Don't Work,neg,15kLz0zNFdtsaJdXKSGmTU
Donovan,Sunshine Superman,pos,4RGxUjaCmVtD30pIhtEi7w
Showaddywaddy,Under the Moon of Love,pos,34LMQb9wE70d6KhZhzHUo1
Thomas Dolby,I Scare Myself,pos,6XhpH1fs9BLFk0IxEGyecw
Alphabeat,Fascination,pos,5AKQ1JHezaXDmN5SyMSpEr
Beck,E-Pro,pos,5i2ZmkW1UttKO6n1KIxIRq
Ben Kweller,Wasted & Ready,pos,7bBgnv7xUbujJRp4RJJX8Y
Klaxons,Golden Skans,pos,6BqWhxll86CGGE6WxgdRqG
Vonray,Part Of Me (LP Version),neg,
My Dying Bride,And My Fury Stands Ready,neg,4oyi4Xv0OUTQfc9ZqOgluK
Arctic Monkeys,Red Light Indicates Doors Are Secured,pos,56GFlp1dkt7dw56pQdTwqW
"Harry Connick, Jr.",It Had To Be You (Big Band and Vocals),pos,58Znl2X9CgsghGUZrkEUr4
Dave Matthews Band,Two Step,pos,0yMKnrafrRbDNYX52PZEAU
The Cure,Three Imaginary Boys,neg,2rgYH8S363FAP3vunkUHnB
Rhapsody Of Fire,Son of Pain,neg,
Patty Griffin,Heavenly Day,pos,2vy6F2C23RxlGJvbdA7NTq
Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You,pos,4um66vC1dEG5HInTfUjCRE
Sade,Nothing Can Come Between Us,pos,6pBDa5KwQ51kbs4WusIPPw
Britney Spears,Sometimes,pos,1UI0l2L66HJ9AtoEOlHzv4
September,Satellites,pos,03N0ZpS5QaC9ga9i2xO9Vp
All Time Low,Poppin' Champagne,pos,3aCRrvADMjFjZq1x8dWD0t
Faithless,One Step Too Far,pos,6xHCjpneuA34NpmWrV4LKf
Tenacious D,Inward Singing,pos,2m8II1x7132qcFWvoJo24S
Nine Inch Nails,The Day The World Went Away,neg,44sz0rNbTA687rs9CYi0IN
Barry Adamson,The Sweetest Embrace,neg,2Zk18G4aC9FuXPFp8ledm4
The Puppini Sisters,Could It Be Magic,pos,4ElC8ykbTWRgwkawtLEZYl
Ice Cube,Dirty Mack,neg,6Uq5Vi8UmZGzGIicjkkz64
IAMX,Song of Imaginary Beings,neg,0c6awbpicrsdAjjnvFwfs1
Talk Talk,I Don't Believe in You,neg,2PeyQvyaViallofbtwS4PL
Paolo Nutini,Million Faces,pos,4OWN4fxrnKhAZz6egeMybi
Aphex Twin,54 Cymru Beats,neg,4Mkyor4q868wX93Vg3z1eX
Madness,It Must Be Love,pos,3q2gRjU2UdOYRDY1p4cNHr
Pearl Jam,4/20/2002,neg,
New Found Glory,All Downhill From Here,pos,6PAoCw99yAkmpeXmY8IIUE
Hot Chip,Bad Luck,pos,5Wx8gy1HmidVAfvlSSwQy3
Train,Meet Virginia,pos,4ocbH5ZJqajZIpUrqRUoue
Chris Rea,Driving Home For Christmas,pos,3Z3QhZAZpqwZa1phsbQ3JZ
Erykah Badu,Rimshot (Intro),pos,7wOQ7QVcQtAxcAbCrelhJy
The Zutons,Always Right Behind You,pos,0llRa5IKHKJOluhOPWQY2x
Lollipop Lust Kill,No Answer (Outro),neg,4iLBZtduluMZPtrIfbPNh4
Frou Frou,Maddening Shroud,pos,7avKTpzigR8xu2VVAOoGX5
Jimmy Eat World,The Middle,pos,6GG73Jik4jUlQCkKg9JuGO
Spiller,Groovejet (If This Ain't Love),pos,5PmFyjGaDCbRtnW4xXCZwC
Foo Fighters,Virginia Moon,pos,2Ei5auE9kCmwKB2JZtKPKO
Ludacris,Get Back,neg,3njpLvANriMsdv3dgADEad
Riverside,Conceiving You,neg,37ErTUm3x69ZSCE485rRd9
Eric Clapton,Wonderful Tonight,pos,6zC0mpGYwbNTpk9SKwh08f
Secret Garden,Sleepsong,pos,4G3tv0qZ4W20ZOvOb02o4P
Middle Of The Road,Chirpy Chirpy Cheep Cheep,pos,2ZAqFu7QLIoNXSkvpwrKMU
The Cure,Play,neg,77HYwsktlwB37zyEH9dgYY
Fiona Apple,Frosty The Snowman,pos,25xgW0go6n2VEyiTclAkBK
"Lightfoot, Gordon",Sundown,neg,0SjnBEHZVXgCKvOrpvzL2k
Edyta GÃ³rniak,Be Good or Be Gone,pos,
Red House Painters,Mistress,neg,74jwaNkFVPyFem9hyVp0O4
Nine Inch Nails,Every Day Is Exactly The Same,neg,11sSvwrDX5BBUhbBZRKUxy
The Magic Numbers,Take A Chance,pos,2DFhENIVhzKFQ2gwxxSErf
Bob Marley & The Wailers,Could You Be Loved,pos,5O4erNlJ74PIF6kGol1ZrC
Remi Nicole,Fed Up,pos,35OKB8d5S3lPYkpDQDi6Dk
Nine Inch Nails,My Violent Heart,neg,6cFuZK0cOJamta5lbU1brZ
Creedence Clearwater Revival,Who'll Stop The Rain,pos,3Bh6uInhcVBVvLraGZdkKD
Soul Coughing,Circles,pos,0qA4oBWCqhCLiOtMfaWUte
Megadeth,Recipe for Hate...Warhorse,neg,
Her Space Holiday,The Young Machines,pos,53iPYTwSBD3js04PDBjJ1X
Britney Spears,I Run Away,neg,7zs5aog6tlIeniHcnoB0HJ
Bran Van 3000,Drinking In L.A.,pos,4WEaJQLlhlkOU7YJDLhn7x
George Jones,He Stopped Loving Her Today,neg,6qMgx8ys4MNNxypaIvbG0i
Epica,Never Enough,neg,4sIWOzf7LxpuGInB68CrLl
Soulsavers,Jesus Of Nothing,neg,3x0X7HcNP0FbI4EuKQogEJ
JoJo,How To Touch A Girl,pos,0ytynNx7n0VABSM0BRi2l8
Bis,Eurodisco,pos,1TGUqQEGG0gDCmnjo7TjyL
Kashmir,No Balance Palace,neg,6B8IbH1wJJNMctOrLaqYJ8
Belle & Sebastian,Stars of Track and Field,neg,347H4auwVHcnWIsiYlVGWO
Isobel Campbell & Mark Lanegan,Back Burner,pos,34StAQ84dHQ3SRqtY2Ozvw
Limp Bizkit,The Propaganda,neg,7m8leIR2d0XtLWm1lPXaKu
Maximilian Hecker,I Am Falling Now,neg,2Go1NRr7meGNVqN2PmcqOB
Steve Miller Band,Abracadabra,pos,2E2ZVy2fxslpAUgbb4zu84
Bill Withers,Just The Two Of Us,pos,1ko2lVN0vKGUl9zrU0qSlT
Natalie Imbruglia,Slow Down,pos,4E9n6tCh6tTaMedNErovGw
Pet Shop Boys,Love Comes Quickly,neg,4789vxAh2p3QrPtdWgeHK0
The Postal Service,Brand New Colony,pos,4gW0C3SyybbjP9cAKZVUBh
Kirsty Hawkshaw,Just Be Me,pos,423YO58k5JKQe5ipOBexq7
White Town,Your Woman,pos,4ACxa9buEUnOdYEoPcnMpi
Engineers,Forgiveness,pos,3Wg8pLjKpRzoirfW39ORv7
Frank the Baptist,Swing The Pendulum,neg,
Dave Matthews Band,Granny,pos,7umdVbIJXtJyV2IZ2ZnA3p
Shawn Colvin,These Four Walls,neg,6Nhx9mQyWDE1kDQUsoAKVe
Low,Walk Into the Sea,neg,6UX7ujSxgvLeq9p1kl2K14
The Horrors,Little Victories,neg,5GDFsuq02bgS6dIPuE1aJM
Cher,Rain Rain,neg,6zabmilbOfE6U8VEEDoSij
Simon & Garfunkel,Fakin' It,pos,4Yx0JDYEtisZE7EMFda6Mr
Butterfly Boucher,Another White Dash,pos,5CTn4sVIez7n6vB4agyQ2A
Amparanoia,Somos Viento,pos,3egJY0FCildGlWLWByiM9S
Vanessa Paradis,Be My Baby,pos,5UkoitnvaDUSsq7cVsOdOh
Morcheeba,Otherwise,pos,0NTSwjegwCGXjm5zMX12VW
Current 93,The Inmost Night,neg,7q4OfCIpoE8LoQSVLdLmUX
Bing Crosby,Swinging On A Star,pos,1LqAog8gwXPER6SHscpHCO
Ella Fitzgerald,Manhattan,pos,05oSjoXe7R0PBuzNifL49W
40 Grit,A Part Of Me,neg,6dYDMBfVOeutzQM6iVdqWO
They Might Be Giants,Birdhouse In Your Soul,pos,6pmuu4qSz2WrtGkBjUfyuz
RÃ¶yksopp,Happy Up Here,pos,7rSn37L6jGaPnOOLBbEwXX
Elliott Smith,Pretty Mary K,neg,3vfDYyMKx7vs5oeWBZVS5p
L'Ame Immortelle,Fear,neg,5Irb5dePr343U4EFNoOZCy
Lenny Kravitz,Fly Away,pos,1OxcIUqVmVYxT6427tbhDW
Frankie J,Gone,neg,1wDwGUn33OYbZBLWWCNTFp
Commodores,Easy,pos,1JQ6Xm1JrvHfvAqhl5pwaA
Skinny Puppy,Candle,neg,
Timo Rautiainen & Trio Niskalaukaus,Lintu,neg,3OMscMZtA975XmD3sbAEjw
Yo La Tengo,My Little Corner of the World,pos,2bY66Hf5NbHJ8Ai8eNmJHG
Evanescence,Like You,neg,21ceHLJfgyO9703AlzM4DU
Radiohead,Subterranean Homesick Alien,neg,2CVV8PtUYYsux8XOzWkCP0
Katatonia,My Twin,neg,0ZEigpVOtVunIcimL7dJuh
Goldfish,Times May Change You,pos,7rdb5iUnifinTtHql8QKNx
Mortal Love,I Want To Die,neg,41p0CYXvYks0Kg9WUyetYo
Wilco,Dreamer in My Dreams,pos,58vytEdgfZfxIhsXk7mDVT
The Berzerker,Free Yourself,neg,6VIfsubCeVb6KEytB9Uegu
Isis,So Did We,neg,4oYhvbkPhJN0tEdtXpCtrc
Gil Scott-Heron,No Knock,neg,7mMGVwYLCGjl1yWqBel8GH
Pete Francis,Untold,pos,6wYQg5mJIHMr4HlLq07ejp
Korn,Hey Daddy,neg,0mso7AHSDbdMadC1wCVhcu
Hole,Violet,neg,6CHENx8iqzMwavTIz8s0gm
Misfits,Some Kinda Hate,neg,0RlC8gQmtupGoklgc97LVa
Andrew Bird,Armchairs,pos,0vwCaq6juiCDaXmG1DaWoI
Sade,Paradise,pos,4tReFKumS5bcFahdXDiM1b
La Roux,Armour Love,pos,5uaTTqWkH3Yc5mUJoQIaNk
Tori Amos,Velvet Revolution,neg,7IOoVwAFSv2bmJacOaTK0K
Deep Blue Something,Breakfast At Tiffany's,pos,1uzWOoJdADfstQuFtQFTUn
Stephen Lynch,Best Friends Song,pos,3mks8f8iVftt7thDyrfvSz
Rachael Yamagata,I Want You,pos,1Un6fAnQy4Pyos9OLE5b0W
Peter Gallagher,Everytime It Rains,neg,6iccxUekB97YaVB3JtwpAV
Morcheeba,Blindfold,pos,7xgfSlAPUouBAquQZkAUdq
Diana Krall,East Of The Sun (And West Of The Moon),pos,18BNoRB2TUhBWelzlapwPB
Iron Maiden,Face In The Sand,neg,1hAv5lEukfAKW61JbrXUpl
Billie Jo Spears,It Makes No Difference Now,neg,3fLRzQ1oIMT6WcyzIUD1vH
Gary Numan,In A Dark Place,neg,0Uga15WAU1BfY8A6hmtenh
Babyface,Soon As I Get Home,pos,22098qGzIakHiNMFkwd4TZ
LCD Soundsystem,On Repeat,pos,64Ei3OCnT9OosQfjNz6enh
DJ Sammy,Beautiful Smile,pos,
Maxi Priest,Close To You,pos,33I3oS8UkebR3KRvqxD9X0
Mint Royale,Singin' In The Rain,pos,73GhZu2dr1h6RdpiWFJx1j
Peter Tosh,Brand New Second Hand,pos,27eLa7tPdURgIJDThmCkYr
Amici Forever,Whisper of Angels,pos,269jrKiZTdmnGF1e9lQCYl
Katatonia,Departer,neg,0ChQobbYn1yyixZh2IJbQ7
Little Brother,Nighttime Maneuvers,pos,6KzuRLtoMcDP75fnAFZFZH
James Taylor,That Lonesome Road,neg,72Pnc2r7k6TA0SLzapYV2u
Ice Cube,The Predator,neg,6Ah1jYLTaxl8EeRHP0L0tY
The Horrors,Death At The Chapel,neg,
Lamb of God,As the Palaces Burn,neg,3yo1NDlNldOQw9BHa1M32W
Charlotte Gainsbourg,The Operation,pos,0QGQtNqWL5KXFaD3ixS92v
Bright Eyes,"Oh, You Are the Roots That Sleep Beneath My Feet and Hold the Earth in Place",pos,7nkDYXJyGCxdxjxAvZeV6X
Orson,No Tomorrow,pos,6ZvkznrglxX8elUqg3oRRH
Natasha Bedingfield,I Wanna Have Your Babies,pos,2S0DqrpQYrGF873Pi5hn1k
Rolling Stones,Let's Spend the Night Together,neg,2FkBzncOXWo7pnN8oqm7Wx
Lisa Hannigan,I Don't Know,pos,2P0TtDdnstqmaG6kfvIHDB
Dragonette,Get Lucky,pos,17qcQA4QU7b5CtnxF9jxaD
Yanni,Until The Last Moment,pos,7dRzKbKCOJWh2muFhoenmk
The Gathering,The Earth Is My Witness,neg,6q29J5IjG9WRtFhPf0NbyH
Helena Bonham Carter & Johnny Depp,Poor Thing,neg,5Je0PcZSDbzvIj6ePxgfrl
D'Angelo,Jonz In My Bonz,pos,7114JMdpaHhNEOlIY0Ljze
Guano Apes,You Can't Stop Me,neg,6EvMtEt0L5ieXHtxj60ve4
Saybia,The One For You,neg,4ttozjJu6p9v4RN5aheYfH
Eartha Kitt,Just An Old Fashioned Girl,pos,1blZIJ2vUTy646l54Vfmdb
Tori Amos,Professional Widow,neg,0MT7RXj7XwkyvA0e05fgo6
Broken Social Scene,Ibi Dreams of Pavement (A Better Day),pos,6T0l07sySJY3eYRTvBSXUw
Alicia Keys,Troubles,pos,7nRoNB9nX26PzCo6fAiETJ
